from,to,count,probability
lower_tunnels,outside_tunnels,83,0.08169291338582677
lower_tunnels,catwalk,38,0.03740157480314961
lower_tunnels,bombsite_B,72,0.07086614173228346
lower_tunnels,short_A,85,0.08366141732283465
lower_tunnels,ct_mid,128,0.12598425196850394
lower_tunnels,t_spawn,240,0.23622047244094488
lower_tunnels,bombsite_A,16,0.015748031496062992
lower_tunnels,upper_tunnels,94,0.09251968503937008
lower_tunnels,doubledoors,7,0.006889763779527559
lower_tunnels,elevator,8,0.007874015748031496
lower_tunnels,elbow,3,0.002952755905511811
lower_tunnels,long_A,9,0.008858267716535433
lower_tunnels,mid,2,0.001968503937007874
lower_tunnels,ramp,3,0.002952755905511811
lower_tunnels,car,2,0.001968503937007874
lower_tunnels,outside_long_doors,4,0.003937007874015748
car,ct_spawn,313,0.49761526232114467
car,long_A,70,0.11128775834658187
car,bombsite_B,8,0.012718600953895072
car,ct_mid,27,0.04292527821939587
car,outside_tunnels,42,0.06677265500794913
car,t_spawn,121,0.19236883942766295
car,ramp,25,0.0397456279809221
car,elevator,9,0.014308426073131956
car,bombsite_A,6,0.009538950715421303
car,upper_mid,3,0.0047694753577106515
car,elbow,2,0.003179650238473768
car,doubledoors,2,0.003179650238473768
car,short_A,1,0.001589825119236884
ramp,ct_spawn,362,0.5006915629322268
ramp,t_spawn,126,0.17427385892116182
ramp,elbow,6,0.008298755186721992
ramp,long_A,44,0.06085753803596127
ramp,ct_mid,39,0.05394190871369295
ramp,doubledoors,7,0.009681881051175657
ramp,bombsite_A,48,0.06639004149377593
ramp,outside_tunnels,38,0.05255878284923928
ramp,car,22,0.030428769017980636
ramp,elevator,19,0.02627939142461964
ramp,bombsite_B,5,0.006915629322268326
ramp,outside_long_doors,1,0.0013831258644536654
ramp,short_A,3,0.004149377593360996
ramp,catwalk,2,0.0027662517289073307
ramp,upper_tunnels,1,0.0013831258644536654
elbow,ct_spawn,101,0.48325358851674644
elbow,outside_tunnels,27,0.1291866028708134
elbow,t_spawn,61,0.291866028708134
elbow,elevator,4,0.019138755980861243
elbow,bombsite_A,5,0.023923444976076555
elbow,long_A,3,0.014354066985645933
elbow,car,3,0.014354066985645933
elbow,ramp,2,0.009569377990430622
elbow,short_A,1,0.004784688995215311
elbow,ct_mid,2,0.009569377990430622
upper_mid,t_spawn,73,0.25435540069686413
upper_mid,short_A,38,0.13240418118466898
upper_mid,ct_spawn,50,0.17421602787456447
upper_mid,long_A,8,0.027874564459930314
upper_mid,ct_mid,15,0.05226480836236934
upper_mid,outside_tunnels,34,0.11846689895470383
upper_mid,catwalk,24,0.08362369337979095
upper_mid,bombsite_B,14,0.04878048780487805
upper_mid,upper_tunnels,9,0.0313588850174216
upper_mid,ramp,3,0.010452961672473868
upper_mid,mid,4,0.013937282229965157
upper_mid,outside_long_doors,4,0.013937282229965157
upper_mid,elbow,1,0.003484320557491289
upper_mid,lower_tunnels,2,0.006968641114982578
upper_mid,car,1,0.003484320557491289
upper_mid,doubledoors,5,0.017421602787456445
upper_mid,bombsite_A,2,0.006968641114982578
mid,outside_tunnels,34,0.11221122112211221
mid,doubledoors,4,0.013201320132013201
mid,ramp,1,0.0033003300330033004
mid,t_spawn,79,0.2607260726072607
mid,bombsite_B,18,0.0594059405940594
mid,upper_mid,3,0.009900990099009901
mid,outside_long_doors,6,0.019801980198019802
mid,ct_spawn,49,0.1617161716171617
mid,short_A,25,0.08250825082508251
mid,elbow,3,0.009900990099009901
mid,upper_tunnels,10,0.033003300330033
mid,ct_mid,13,0.0429042904290429
mid,catwalk,29,0.09570957095709572
mid,bombsite_A,5,0.0165016501650165
mid,lower_tunnels,9,0.0297029702970297
mid,car,4,0.013201320132013201
mid,long_A,11,0.036303630363036306
suicide,ct_spawn,23,0.06371191135734072
suicide,outside_tunnels,21,0.05817174515235457
suicide,short_A,47,0.13019390581717452
suicide,bombsite_B,14,0.038781163434903045
suicide,mid,46,0.12742382271468145
suicide,t_spawn,43,0.11911357340720222
suicide,long_A,10,0.027700831024930747
suicide,doubledoors,18,0.04986149584487535
suicide,catwalk,40,0.11080332409972299
suicide,upper_mid,21,0.05817174515235457
suicide,ramp,3,0.008310249307479225
suicide,car,4,0.0110803324099723
suicide,outside_long_doors,20,0.055401662049861494
suicide,elbow,1,0.002770083102493075
suicide,ct_mid,18,0.04986149584487535
suicide,upper_tunnels,19,0.05263157894736842
suicide,lower_tunnels,10,0.027700831024930747
suicide,bombsite_A,3,0.008310249307479225
